City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bethel,41.3712,-73.414,37.76,84,100,0.0,US,1675826168
1,jamestown,42.097,-79.2353,37.04,93,100,13.8,US,1675826085
2,ostrovnoy,68.0531,39.5131,30.56,77,9,22.59,RU,1675826170
3,new norfolk,-42.7826,147.0587,62.1,32,5,4.54,AU,1675826171
4,camopi,3.1655,-52.3158,71.65,99,100,1.79,GF,1675826173
5,rikitea,-23.1203,-134.9692,79.84,69,37,9.04,PF,1675826021
6,hermanus,-34.4187,19.2345,66.79,83,0,11.92,ZA,1675826175
7,ushuaia,-54.8,-68.3,47.82,89,99,7.07,AR,1675825916
8,ribeira grande,38.5167,-28.7,54.77,67,27,5.01,PT,1675826112
9,mataura,-46.1927,168.8643,51.48,51,64,11.68,NZ,1675826178
10,asfi,32.2994,-9.2372,55.8,80,6,12.82,MA,1675826178
11,busselton,-33.65,115.3333,78.98,44,0,1.61,AU,1675826179
12,fomboni,-12.28,43.7425,82.18,74,100,14.12,KM,1675826180
13,ponta do sol,32.6667,-17.1,59.63,62,37,8.32,PT,1675825966
14,vostok,46.4856,135.8833,4.28,75,61,12.28,RU,1675826181
15,kavaratti,10.5669,72.642,79.88,71,93,12.26,IN,1675826181
16,thompson,55.7435,-97.8558,4.14,98,99,2.86,CA,1675825692
17,porto novo,6.4965,2.6036,77.54,86,96,4.45,BJ,1675826183
18,namibe,-15.1961,12.1522,69.69,76,96,5.39,AO,1675826183
19,puerto maldonado,-12.6,-69.1833,72.0,98,67,1.14,PE,1675826185
20,tiksi,71.6872,128.8694,-34.17,99,99,5.99,RU,1675826187
21,vizinga,61.0749,50.1031,17.92,94,100,9.06,RU,1675826189
22,karratha,-20.7377,116.8463,95.13,37,42,10.09,AU,1675826030
23,portland,45.5234,-122.6762,46.35,88,20,5.01,US,1675826193
24,cape town,-33.9258,18.4232,69.91,74,0,14.0,ZA,1675826041
25,pokhara,28.2333,83.9833,61.61,44,48,1.57,NP,1675826194
26,arica,-18.475,-70.3042,74.75,78,0,5.75,CL,1675826194
27,cayenne,4.9333,-52.3333,77.04,88,20,3.44,GF,1675826194
28,longyearbyen,78.2186,15.6401,24.64,68,40,19.57,SJ,1675826195
29,georgetown,5.4112,100.3354,85.93,69,20,10.36,MY,1675826195
30,puerto ayora,-0.7393,-90.3518,79.56,92,55,5.01,EC,1675826122
31,uttaradit,17.6667,100.5,86.09,32,5,4.14,TH,1675826196
32,bluff,-46.6,168.3333,51.8,64,49,27.0,NZ,1675826196
